,text,intent,arg,enType,value
0,Music video Miley Cyrus Wrecking Ball,GOTO,content_type,type_modifier,Music video
1,Music video Miley Cyrus Wrecking Ball,GOTO,program_name,musicvideo,Miley Cyrus Wrecking Ball
2,Pictures of little crystal things from the pool,BROWSE,topic,,little crystal things from the pool
3,Pictures of little crystal things from the pool,BROWSE,content_type,type_modifier,Pictures
4,Ukraine coverage,BROWSE,topic,topic,Ukraine
5,Ukraine coverage,BROWSE,content_type,type_modifier,coverage
6,Reviews for the congressional hearing held yesterday,BROWSE,topic,topic,the congressional hearing held yesterday
7,Reviews for the congressional hearing held yesterday,BROWSE,content_type,type_modifier,Reviews
8,Vampire movies,BROWSE,topic,,Vampire
9,Vampire movies,BROWSE,content_type,type_modifier,movies
10,Cowboy movies,BROWSE,topic,,Cowboy
11,Cowboy movies,BROWSE,content_type,type_modifier,movies
12,Tarzan movies,BROWSE,content_type,type_modifier,movies
13,Tarzan movies,BROWSE,topic,,Tarzan
14,Podcast of the mob Chicago B Smyth,BROWSE,topic,topic,the mob Chicago B Smyth
15,Podcast of the mob Chicago B Smyth,BROWSE,content_type,type_modifier,Podcast
16,President Biden executive order,BROWSE,topic,,President Biden executive order
17,News of June 12 Benton Harbor Michigan,BROWSE,locale_modifier,location_state,Michigan
18,News of June 12 Benton Harbor Michigan,BROWSE,locale_modifier,location_city,Benton Harbor
19,News of June 12 Benton Harbor Michigan,BROWSE,temporal_modifier,,June 12
20,News of June 12 Benton Harbor Michigan,BROWSE,content_type,type_modifier,News
21,News out of Grand rapids Michigan,BROWSE,locale_modifier,location_state,Michigan
22,News out of Grand rapids Michigan,BROWSE,locale_modifier,location_city,Grand rapids
23,News out of Grand rapids Michigan,BROWSE,content_type,type_modifier,News
24,News of the Road Baptist Church,BROWSE,topic,topic,the Road Baptist Church
25,News of the Road Baptist Church,BROWSE,content_type,type_modifier,News
26,Show me Boruto and Sarada having sex,BROWSE,topic,,Boruto and Sarada having sex
27,Rachel Maddox CNN CNBC,BROWSE,medium_name,channel,CNBC
28,Rachel Maddox CNN CNBC,BROWSE,medium_name,channel,CNN
29,Rachel Maddox CNN CNBC,BROWSE,person_name,person,Rachel Maddox
